	Favorite Count	Favorited	ID	Phone Type	Replied	Retweet Count	Retweeted	Screen Name	Tweet Coordinates	Tweet Created At	Tweet Text	User Location	User Name
2354	0	False	1170776896856043520	Twitter Web App		1303	False	InnerFury4K		2019-09-08 19:12:18	"RT @JamesMelville: UK’s top trade partners (exports) 2018:

EU 🇪🇺$225.8bn
United States 🇺🇸 $64.4bn 
China 🇨🇳 $27.5bn
Hong Kong 🇭🇰 $10.3bn
U…"	Scotland	Paul Burns
2355	0	False	1170776874869567488	Twitter Web App		1303	False	paulpe28		2019-09-08 19:12:13	"RT @JamesMelville: UK’s top trade partners (exports) 2018:

EU 🇪🇺$225.8bn
United States 🇺🇸 $64.4bn 
China 🇨🇳 $27.5bn
Hong Kong 🇭🇰 $10.3bn
U…"	Preston, England	Paul Peyton
2356	0	False	1170776874764709889	Twitter Web App		78	False	Birchbark_Canoe		2019-09-08 19:12:13	RT @etrade: Oops! They did it again. US, China trade skirmishes derail markets in August.	photos are mine unless noted	Birchbark Canoe
2357	0	False	1170776852316733442	Twitter for iPhone		47	False	Yasminakill		2019-09-08 19:12:08	RT @TrueFactsStated: Trump’s trade war has already cost the country billions as weakened president faces off with China: report – Raw Story…	Virginia, USA	Yasmin
2358	0	False	1170776850878160899	Twitter for iPad		1303	False	jacpat01		2019-09-08 19:12:07	"RT @JamesMelville: UK’s top trade partners (exports) 2018:

EU 🇪🇺$225.8bn
United States 🇺🇸 $64.4bn 
China 🇨🇳 $27.5bn
Hong Kong 🇭🇰 $10.3bn
U…"	European Union	Jacqueline #RevokeA50 🇪🇺🇬🇧🇫🇷 #FBPE
2359	0	False	1170776850571890689	Twitter Web App		20	False	hynedsight		2019-09-08 19:12:07	RT @TheLastRefuge2: Sunday Talks: White House Trade Advisor Peter Navarro -vs- Maria Bartiromo on China… https://t.co/96Obe25o6B https://t.…		Hynedsight
2360	0	False	1170776845089943553	Twitter Web App		1303	False	RebaBiba		2019-09-08 19:12:06	"RT @JamesMelville: UK’s top trade partners (exports) 2018:

EU 🇪🇺$225.8bn
United States 🇺🇸 $64.4bn 
China 🇨🇳 $27.5bn
Hong Kong 🇭🇰 $10.3bn
U…"	Coronation Street	SAINT-HILDA
2361	0	False	1170776819965915136	Twitter for iPhone		131	False	jaigoenka		2019-09-08 19:12:00	RT @FirstSquawk: CHINA HAS OFFERED THE UNITED STATES’ HIGH-RANKED TRADE OFFICIALS TO BUY A MODEST AMOUNT OF US AGRICULTURAL PRODUCTS DURING…		lets_tweet
2362	7	False	1170776815515815936	Twitter for iPhone		8	False	annaleclaire		2019-09-08 19:11:59	Trump’s thug policies R pushing more &amp; more countries 2 drop US dollar &amp; 2 move closer 2 Russia &amp; China. China trad… https://t.co/PozFtR2KMD	Los Angeles, CA	Anna Le Claire ⏳🇺🇸🇺🇾🇵🇸 🇸🇾🇻🇪
2363	0	False	1170776812185473024	Twitter for Android		496	False	BrianHa96351659		2019-09-08 19:11:58	RT @kylegriffin1: Imports of American products to China dropped to $10.3 billion in August, down 22% from the same month last year, amid Tr…		Brian Hastings
2364	0	False	1170776803469869058	Twitter for Android		47	False	Kitten0409		2019-09-08 19:11:56	RT @TrueFactsStated: Trump’s trade war has already cost the country billions as weakened president faces off with China: report – Raw Story…	Spain	Victoria 😜 On Demand Mischief Maker
2365	0	False	1170776795395874816	Twitter for iPhone		1303	False	Multimodalitie1		2019-09-08 19:11:54	"RT @JamesMelville: UK’s top trade partners (exports) 2018:

EU 🇪🇺$225.8bn
United States 🇺🇸 $64.4bn 
China 🇨🇳 $27.5bn
Hong Kong 🇭🇰 $10.3bn
U…"	London, England	Robert Emmet
2366	0	False	1170776788517183490	Twitter for Android	1170738910428893218	0	False	downtheline11		2019-09-08 19:11:53	@GOP @realDonaldTrump https://t.co/SYXRP0AA5F		MJB
2367	0	False	1170776787699343366	Twitter Web Client		0	False	Maxpleason		2019-09-08 19:11:52	US China Trade War Explained -Who Needs Who? https://t.co/ZfckJeTDil via @YouTube	Texas, USA	Maximillian
2368	0	False	1170776783525953536	Twitter for iPhone		47	False	JacqBenoit		2019-09-08 19:11:51	RT @TrueFactsStated: Trump’s trade war has already cost the country billions as weakened president faces off with China: report – Raw Story…	White House Bowling Alley	Jacques Benoit
2369	0	False	1170776772767551491	Twitter for iPhone		3	False	cjp_still		2019-09-08 19:11:49	"RT @Kat4Obama: ""Trump came under pressure from fellow leaders over his policies on China, trade, Russia and Iran. And he didn’t even show u…"	Urbana, IL	Dr. Catherine Prendergast
2370	0	False	1170776751435321344	Twitter for iPhone		20	False	alabamamangreg		2019-09-08 19:11:44	RT @TheLastRefuge2: Sunday Talks: White House Trade Advisor Peter Navarro -vs- Maria Bartiromo on China… https://t.co/96Obe25o6B https://t.…	Twitmo 😴 LA (Lower Alabama)	Deplorable Redneck⭐️⭐️⭐️
2371	0	False	1170776730807787520	Twitter for Android		1303	False	NRoolz		2019-09-08 19:11:39	"RT @JamesMelville: UK’s top trade partners (exports) 2018:

EU 🇪🇺$225.8bn
United States 🇺🇸 $64.4bn 
China 🇨🇳 $27.5bn
Hong Kong 🇭🇰 $10.3bn
U…"	Toilet	N̷̖̱͖̳̤a҉̗͙͍͇̩̝i͍̞͔̺c̯̺̪h͎̜͓̤̩͠ ̷̖R̛o̕o͟l͏z̮̣̩̣̬🦆
2372	0	False	1170776726139547648	Twitter for Android		1303	False	Starshaddow		2019-09-08 19:11:38	"RT @JamesMelville: UK’s top trade partners (exports) 2018:

EU 🇪🇺$225.8bn
United States 🇺🇸 $64.4bn 
China 🇨🇳 $27.5bn
Hong Kong 🇭🇰 $10.3bn
U…"	 Scotland	Gordon Macpherson
2373	0	False	1170776715964104704	Twitter for Android	1170770982518349824	0	False	mcpete		2019-09-08 19:11:35	@moshjahan @tomfenn8 @ComradePangloss @JimButcher2 @john_donoher @Fox_Claire Top tip: don't copy the content of twe… https://t.co/kslyURnOUG	Hertfordshire, UK	Steve W
2374	0	False	1170776715905445888	Twitter for iPhone		173	False	gmanpoulin		2019-09-08 19:11:35	RT @ResistanceNOW77: National Farmers Union VP says bankruptcy, suicides rising in rural U.S. amid Trump's China trade war https://t.co/1h2…		Gman
2375	0	False	1170776711018893313	dlvr.it		0	False	HouseCracka		2019-09-08 19:11:34	Sunday Talks: White House Trade Advisor Peter Navarro -vs- Maria Bartiromo on China… https://t.co/PKk6sN9XD3 https://t.co/Xx4FaqW95C	Old Town Road	Old Town Deplorable Road 🐎🤠
2376	0	False	1170776701602881538	Twitter for iPhone		4	False	TheFarSideRight		2019-09-08 19:11:32	"RT @TheFarSideRight: China exports to the US sank 16% to $44B under pressure from tariffs imposed by Trump

Chinese exporters face pressure…"		AMericAN ink🇺🇸
2377	0	False	1170776698867990528	Twitter Web App		0	False	beachgirl_karen		2019-09-08 19:11:31	There's a straight line from Trump's trade war with China to the destruction of the Amazon  https://t.co/49Sg7ad47f via @massivesci	Pacific Northwest	Karen
2378	0	False	1170776691892994048	Twitter for Android		1303	False	KeithBennett58		2019-09-08 19:11:29	"RT @JamesMelville: UK’s top trade partners (exports) 2018:

EU 🇪🇺$225.8bn
United States 🇺🇸 $64.4bn 
China 🇨🇳 $27.5bn
Hong Kong 🇭🇰 $10.3bn
U…"		Keith Bennett
2379	0	False	1170776686666944513	Twitter for iPhone		4795	False	HumanitarianGal		2019-09-08 19:11:28	"RT @MarkHertling: Im confused re the security strategy of:
-leaving the Iran deal that was working
-offering KJU a presence on world stage…"		LAC
2380	0	False	1170776686469816328	Twitter for iPhone		1303	False	seamanmark		2019-09-08 19:11:28	"RT @JamesMelville: UK’s top trade partners (exports) 2018:

EU 🇪🇺$225.8bn
United States 🇺🇸 $64.4bn 
China 🇨🇳 $27.5bn
Hong Kong 🇭🇰 $10.3bn
U…"	The Grim North	Mark Seaman
2381	0	False	1170776662058790912	Twitter for iPhone		1303	False	MathiasGunnars1		2019-09-08 19:11:22	"RT @JamesMelville: UK’s top trade partners (exports) 2018:

EU 🇪🇺$225.8bn
United States 🇺🇸 $64.4bn 
China 🇨🇳 $27.5bn
Hong Kong 🇭🇰 $10.3bn
U…"	Stockholm, Sverige	Well well well
2382	0	False	1170776619146825728	Twitter Web App		124	False	brettaboyles		2019-09-08 19:11:12	"RT @ColMorrisDavis: .@ChuckGrassley ❤️ socialism ... as long as the tax dollars are lining his pockets with government handouts!

https://t…"	Aurora, CO	Brett Boyles
2383	0	False	1170776602487054336	Twitter for iPhone		496	False	Deutschland4408		2019-09-08 19:11:08	RT @kylegriffin1: Imports of American products to China dropped to $10.3 billion in August, down 22% from the same month last year, amid Tr…	United States 	Rea
2384	0	False	1170776599974817794	Twitter Web App		1304	False	dwasmkuk		2019-09-08 19:11:08	"RT @JamesMelville: UK’s top trade partners (exports) 2018:

EU 🇪🇺$225.8bn
United States 🇺🇸 $64.4bn 
China 🇨🇳 $27.5bn
Hong Kong 🇭🇰 $10.3bn
U…"	Milton Keynes, UK	David Short
2385	0	False	1170776550821773313	Twitter Web App		1304	False	thedeedardingle		2019-09-08 19:10:56	"RT @JamesMelville: UK’s top trade partners (exports) 2018:

EU 🇪🇺$225.8bn
United States 🇺🇸 $64.4bn 
China 🇨🇳 $27.5bn
Hong Kong 🇭🇰 $10.3bn
U…"	DEE DAR LAND - (NOR NOR WEST SHEFFIELD - BARNSLEY SOUTH SOUNDS BETTER) 7.9 crow miles (12.7km) from DEE TOP OF DODWORTH BOTTOM	TopOfDodworthBottomExPat
2386	0	False	1170776529388941312	Twitter for Android		0	False	econ_tas		2019-09-08 19:10:51	Keep an eye on the trade war Y12/Y13. China's figures weren't what analysts were expecting. Exports to the US down… https://t.co/fsn8rw7aG0		TASEcon
2387	0	False	1170776508010553344	Twitter for iPhone		1304	False	Mr_JSheffield		2019-09-08 19:10:46	"RT @JamesMelville: UK’s top trade partners (exports) 2018:

EU 🇪🇺$225.8bn
United States 🇺🇸 $64.4bn 
China 🇨🇳 $27.5bn
Hong Kong 🇭🇰 $10.3bn
U…"	London 	J sheffield 🔶
2388	0	False	1170776505779179522	Twitter Web App		52	False	bndsnoopy61		2019-09-08 19:10:45	"RT @RawStory: Trump’s trade war has already cost the country billions as weakened president faces off with China: report

https://t.co/GCdR…"	MI	Dianne
2389	0	False	1170776495691882497	Twitter Web App		170	False	dowchang		2019-09-08 19:10:43	RT @robert_spalding: Which is why tariffs on China must be made permanent. Same as before they were mistakenly invited into the WTO. https:…	南京市, 中華民國 	Dow Chang,  PhD & PE & MBA
2390	0	False	1170776479510224898	Twitter Web App	1170513429318135808	0	False	Silence54994655		2019-09-08 19:10:39	"@CulinaryOasis79 @CNN Repealed mandate and didnt' fix it with a replacement. 

Trade has been a complete failure to… https://t.co/gPhLKShJPo"	Philadelphia, PA	SilenceDogood
2391	0	False	1170776477878628352	Twitter for Android		1304	False	robyoung20		2019-09-08 19:10:38	"RT @JamesMelville: UK’s top trade partners (exports) 2018:

EU 🇪🇺$225.8bn
United States 🇺🇸 $64.4bn 
China 🇨🇳 $27.5bn
Hong Kong 🇭🇰 $10.3bn
U…"	United Kingdom	Robert Young Esq.,#TheResistance#RebelToo
2392	0	False	1170776434186575872	Twitter for iPhone		62	False	campisi_nancy		2019-09-08 19:10:28	RT @TaxReformExpert: The Democrats' worst nightmare is that Trump does a trade deal with China and GDP surges to 4.0 right before the 2020…	United States	Nacamp
2393	0	False	1170776421725290496	Twitter for iPad		1304	False	Steve_Remainer		2019-09-08 19:10:25	"RT @JamesMelville: UK’s top trade partners (exports) 2018:

EU 🇪🇺$225.8bn
United States 🇺🇸 $64.4bn 
China 🇨🇳 $27.5bn
Hong Kong 🇭🇰 $10.3bn
U…"	EU, but mostly Doncaster	Steve 🖤 #BlockTheCoup #StopBrexit
2394	0	False	1170776419854639104	Twitter for Android		14	False	Researchiing		2019-09-08 19:10:25	RT @C_Barraud: @TrackInsightETF @realDonaldTrump 🇨🇳 🇺🇸 #China made a peace proposal in a phone call this week with top U.S. #trade official…		Kasten
2395	0	False	1170776394932064256	Twitter for Android		1304	False	BluePaeony75		2019-09-08 19:10:19	"RT @JamesMelville: UK’s top trade partners (exports) 2018:

EU 🇪🇺$225.8bn
United States 🇺🇸 $64.4bn 
China 🇨🇳 $27.5bn
Hong Kong 🇭🇰 $10.3bn
U…"		Sandra Dixon
2396	0	False	1170776385356488704	Twitter Web App		1304	False	morrismaria		2019-09-08 19:10:16	"RT @JamesMelville: UK’s top trade partners (exports) 2018:

EU 🇪🇺$225.8bn
United States 🇺🇸 $64.4bn 
China 🇨🇳 $27.5bn
Hong Kong 🇭🇰 $10.3bn
U…"	London	Maria Morris
2397	0	False	1170776368822607873	Twitter for Android		1884	False	ManBearSquid1		2019-09-08 19:10:12	RT @brhodes: Lots to tout. North Korea is building new nukes. Iran restarted its nuclear program. Maduro still in power. China trade war dr…	BrainBank BrainVault ,Moon	Sane-ish Scientist
2398	0	False	1170776346399793152	Twitter for iPhone		0	False	trawlericw		2019-09-08 19:10:07	Impeachment of a president that stands up to Communist China to reduce a half Trillion $$ trade deficit the dem are… https://t.co/ytliIE9aem	SW Florida	Clark Kent
2399	0	False	1170776342067064832	Twitter for iPhone		124	False	m2in84		2019-09-08 19:10:06	"RT @ushadrons: Chuck ""the poor farmer"" Grassley will apply for Trump's federal farm bailout cash for the second time. https://t.co/jpWTBru8…"	Naples, FL	Matt Mezinze
2400	0	False	1170776338518564864	Twitter Web App		47	False	CoWndy		2019-09-08 19:10:05	RT @TrueFactsStated: Trump’s trade war has already cost the country billions as weakened president faces off with China: report – Raw Story…	western us	kickBack
2401	1	False	1170776337927278592	Hootsuite Inc.		0	False	beltandroadpod		2019-09-08 19:10:05	"The oft ignored site where Chinese, Russian, and Western geopolitical interests compete. 

""Kazakhstan is a linchpi… https://t.co/H4kV6SWBwz"	Durham, NC	Belt and Road Podcast
2402	0	False	1170776337776283648	Hootsuite Inc.		0	False	genemarks		2019-09-08 19:10:05	#Smallbusinesses that do #business with Chinese companies better start making other plans. Our #economic war with… https://t.co/NXpUD94NtW	Philadelphia, PA	Gene Marks
2403	0	False	1170776321946816513	Twitter for iPhone		1	False	AngieGLaw		2019-09-08 19:10:01	RT @pstAsiatech: No place like home: Chinese firms stung by trade war build up domestic brands - Reuters https://t.co/5AbVDCM03W	USA	Angie Law
2404	0	False	1170776315924045824	Twitter Web App		26	False	Dave4FtMyers		2019-09-08 19:10:00	"RT @shestokas: People worry about a #China""trade war"". #China has been pursuing economic war to dominate. @realDonaldTrump knows this and t…"	Chicago, IL	Shestokas 4 The Constitution
2405	0	False	1170776266368258050	WordPress.com		0	False	newpaper24		2019-09-08 19:09:48	Is Donald Trump’s trade war making China change? – NEWPAPER24 https://t.co/9rBuD0zi58 https://t.co/XQLo61h0vb	München, Bayern	Newpaper24
2406	0	False	1170776255731384320	Twitter for iPhone		4795	False	EagleGuardian2		2019-09-08 19:09:45	"RT @MarkHertling: Im confused re the security strategy of:
-leaving the Iran deal that was working
-offering KJU a presence on world stage…"	Washington, USA	EagleGuardian
2407	0	False	1170776247686684673	Twitter for iPhone		496	False	paynekathi58		2019-09-08 19:09:44	RT @kylegriffin1: Imports of American products to China dropped to $10.3 billion in August, down 22% from the same month last year, amid Tr…	Diamond Bar, CA	Katherine Payne
2408	0	False	1170776245375651841	Twitter for Android		52	False	PamelaPatriot		2019-09-08 19:09:43	"RT @RawStory: Trump’s trade war has already cost the country billions as weakened president faces off with China: report

https://t.co/GCdR…"	Planet Earth	Pamela Patriot
2409	0	False	1170776217089466371	Twitter for iPhone		1304	False	cdoran4		2019-09-08 19:09:36	"RT @JamesMelville: UK’s top trade partners (exports) 2018:

EU 🇪🇺$225.8bn
United States 🇺🇸 $64.4bn 
China 🇨🇳 $27.5bn
Hong Kong 🇭🇰 $10.3bn
U…"		Catherine Doran #FBPE 🎪
2410	0	False	1170776200891043840	Twitter Web App		0	False	distrumption		2019-09-08 19:09:32	"Unexpectedly...😉
China's exports to US unexpectedly fell 16% in August as Trump escalates trade war #trade 
https://t.co/22BIIyDmJz"	USA	Trump + Disruption
